job_id,skill
14543-24280-1783016-0-S,R
14543-24294-1783186-0-S,Data Science
14543-24294-1783186-0-S,R
10000-1203501028-S,Data Science
10000-1203501356-S,Data Science
13151-1577245-2-S,Python
13151-1577245-2-S,SQL
13151-1577245-2-S,Machine Learning
13151-1577245-2-S,Artificial Intelligence
13151-1577245-2-S,Data Science
13151-1577245-2-S,Large Language Models
13151-1577245-2-S,RAG
13151-1577245-2-S,Git
13151-1577245-2-S,Azure
16604-969745-008-S,Data Science
16604-969745-008-S,Excel
20260-106432X340547-S,Data Science
20260-106432X340547-S,Excel
19446-r18734-S,Python
19446-r18734-S,Power BI
10001-1003516883-S,Python
10001-1002793394-S,Power BI
10001-1002793394-S,Azure
10001-1003630616-S,Artificial Intelligence
13151-1630364-1-S,Python
13151-1630364-1-S,SQL
13151-1630364-1-S,Machine Learning
13151-1630364-1-S,Artificial Intelligence
13151-1630364-1-S,NLP
13151-1630364-1-S,Data Science
13151-1630364-1-S,Docker
13151-1630364-1-S,Azure
13151-1630364-1-S,Cloud
10001-1003150819-S,SQL
10001-1003150819-S,Excel
10001-1003694894-S,Data Science
10001-1003694894-S,Cloud
10001-1003694894-S,Excel
12462-1632096-1-S,Python
12462-1632096-1-S,Artificial Intelligence
12462-1632096-1-S,Large Language Models
12462-1632096-1-S,Git
12462-1632096-1-S,Cloud
10000-1206618607-S,Artificial Intelligence
10001-1002102839-S,Python
10001-1002102839-S,SQL
10001-1002102839-S,R
10001-1002102839-S,Excel
12465-1630782-1-S,Artificial Intelligence
12465-1630782-1-S,Power BI
12465-1630782-1-S,Data Science
12465-1630782-1-S,Tableau
10001-1003063506-S,Data Science
20208-8adff2cc4bc540518c9-S,Artificial Intelligence
20208-8adff2cc4bc540518c9-S,OCR
18989-963147069-S,Python
18989-963147069-S,SQL
18989-963147069-S,Artificial Intelligence
18989-963147069-S,Data Science
18989-963147069-S,Data Analytics
18989-963147069-S,Data Engineering
18989-963147069-S,R
18989-963147069-S,AWS
18989-963147069-S,Azure
18989-963147069-S,Cloud
18989-963147069-S,Excel
18989-963147069-S,Java
18349-47001_15_JB5239723-S,Python
18349-47001_15_JB5239723-S,SQL
18349-47001_15_JB5239723-S,Spark
18349-47001_15_JB5239723-S,Cloud
10001-1002634660-S,Power BI
10001-1002634660-S,Excel
12462-1631638-1-S,Python
12462-1631638-1-S,SQL
12462-1631638-1-S,Pandas
12462-1631638-1-S,RAG
14244-BB-440098-7878-1558-S,Python
14244-BB-440098-7878-1558-S,Machine Learning
14244-BB-440098-7878-1558-S,Artificial Intelligence
14244-BB-440098-7878-1558-S,Deep Learning
12465-1580221-2-S,SQL
12465-1580221-2-S,C#
12465-1580221-2-S,Data Science
12465-1580221-2-S,Data Analytics
12465-1580221-2-S,Git
10001-1003553407-S,Python
10001-1003553407-S,Artificial Intelligence
10001-1003553407-S,Generative AI
10001-1003553407-S,Large Language Models
10001-1003553407-S,RAG
20208-36d6b56530384055a6d-S,Data Science
12465-1609186-1-S,C#
12465-1609186-1-S,Data Science
13151-1625447-1-S,Python
13151-1625447-1-S,SQL
13151-1625447-1-S,Power BI
